failures,studytime,famrel,traveltime,guardian,higher,absences,goout,Dalc,Walc,internet,paid,Fedu,Mjob,Fjob,reason,G2,G3
0,2,4,2,mother,yes,4,4,1,1,no,no,4,at_home,teacher,course,11,11
0,2,5,1,father,yes,2,3,1,1,yes,no,1,at_home,other,course,11,11
0,2,4,1,mother,yes,6,2,2,3,yes,no,1,at_home,other,other,13,12
0,3,3,1,mother,yes,0,2,1,1,yes,no,2,health,services,home,14,14
0,2,4,1,father,yes,0,2,1,2,no,no,3,other,other,home,13,13
0,2,5,1,mother,yes,6,2,1,2,yes,no,3,services,other,reputation,12,13
0,2,4,1,mother,yes,0,4,1,1,yes,no,2,other,other,home,12,13
0,2,4,2,mother,yes,2,4,1,1,no,no,4,other,teacher,home,13,13
0,2,4,1,mother,yes,0,2,1,1,yes,no,2,services,other,home,16,17
0,2,5,1,mother,yes,0,1,1,1,yes,no,4,other,other,home,12,13
0,2,3,1,mother,yes,2,3,1,2,yes,no,4,teacher,health,reputation,14,14
0,3,5,3,father,yes,0,2,1,1,yes,no,1,services,other,reputation,12,13
0,1,4,1,father,yes,0,3,1,3,yes,no,4,health,services,course,13,12
0,2,5,2,mother,yes,0,3,1,2,yes,no,3,teacher,other,course,12,13
0,3,4,1,other,yes,0,2,1,1,yes,no,2,other,other,home,14,15
0,1,4,1,mother,yes,6,4,1,2,yes,no,4,health,other,home,17,17
0,3,3,1,mother,yes,10,3,1,2,yes,no,4,services,services,reputation,13,14
0,2,5,3,mother,yes,2,2,1,1,no,no,3,other,other,reputation,14,14
3,1,5,1,mother,yes,2,5,2,4,yes,yes,2,services,services,course,8,7
0,1,3,1,father,yes,6,3,1,3,yes,no,3,health,other,home,12,12
0,2,4,1,mother,yes,0,1,1,1,yes,no,3,teacher,other,reputation,13,14
0,1,5,1,father,yes,0,2,1,1,yes,yes,4,health,health,other,12,12
0,2,4,1,mother,yes,0,1,1,3,yes,no,2,teacher,other,course,13,14
0,2,5,2,mother,yes,2,4,2,4,yes,no,2,other,other,reputation,10,10
0,3,4,1,mother,yes,2,2,1,1,yes,no,4,services,health,course,11,10
0,1,1,1,mother,yes,6,2,1,3,yes,no,2,services,services,home,11,12
0,1,4,1,mother,yes,8,2,1,2,yes,no,2,other,other,home,12,12
0,1,2,1,mother,yes,0,4,2,4,yes,no,2,health,services,other,11,11
0,2,5,1,mother,yes,2,3,1,1,yes,yes,4,services,other,home,12,13
0,2,4,1,mother,yes,4,5,5,5,yes,yes,4,teacher,teacher,home,11,12
0,2,5,1,mother,yes,0,2,3,4,yes,yes,4,health,services,home,11,11
0,2,4,2,mother,yes,2,1,1,1,yes,no,4,services,services,reputation,15,15
0,2,4,1,mother,yes,0,2,1,1,yes,no,3,teacher,at_home,course,14,15
0,2,5,1,mother,yes,0,2,1,1,yes,no,3,other,other,course,12,12
0,1,5,1,mother,yes,4,3,1,1,yes,no,2,other,other,home,12,12
0,1,3,2,father,yes,4,1,1,1,no,no,3,other,other,other,11,11
0,3,5,1,mother,yes,0,3,1,1,yes,no,3,teacher,services,home,14,14
0,3,2,2,mother,yes,4,3,1,1,yes,no,4,other,teacher,reputation,13,13
0,3,4,1,mother,yes,2,2,1,1,yes,no,4,services,health,course,12,12
0,1,4,1,mother,yes,8,1,1,1,no,no,2,at_home,other,reputation,13,12
0,2,3,2,mother,yes,16,3,1,2,yes,no,2,other,other,home,11,10
0,1,5,1,other,yes,8,3,2,4,yes,no,4,teacher,other,home,11,11
0,2,4,1,father,yes,0,3,1,1,yes,no,4,services,teacher,course,15,15
0,1,5,1,father,yes,0,1,1,1,yes,no,2,services,services,course,10,10
1,2,4,2,father,yes,14,3,2,2,yes,no,2,other,at_home,course,11,11
0,2,5,1,mother,yes,4,2,1,1,yes,yes,3,other,other,course,11,11
0,2,2,1,mother,yes,6,5,1,4,yes,no,3,other,services,home,12,13
0,4,4,1,mother,yes,2,2,1,1,yes,no,3,health,services,reputation,17,17
0,2,4,1,mother,yes,4,3,2,2,no,no,2,teacher,other,home,12,13
0,2,4,1,father,yes,2,4,1,1,yes,no,4,services,teacher,other,12,12
0,2,4,3,mother,yes,0,3,2,3,yes,no,2,services,services,course,13,13
0,2,4,1,mother,yes,0,3,1,1,yes,no,2,health,other,other,14,16
0,1,5,2,father,yes,4,5,3,4,no,no,2,health,health,other,9,9
0,1,3,1,mother,yes,0,4,2,3,yes,no,4,services,services,course,12,12
0,1,5,1,mother,yes,0,4,4,4,yes,no,3,other,other,other,12,13
0,2,5,1,mother,yes,2,4,1,1,yes,no,1,other,other,other,13,12
0,2,4,1,mother,yes,0,2,1,1,yes,no,3,services,services,reputation,14,15
0,2,3,1,mother,yes,8,2,1,1,no,no,4,teacher,health,reputation,15,16
0,2,4,1,father,yes,0,2,1,1,yes,no,2,other,at_home,home,13,14
0,2,4,1,mother,yes,2,3,1,1,yes,yes,2,services,other,course,15,16
0,2,2,1,mother,yes,0,4,2,3,no,no,4,health,teacher,other,16,16
0,1,5,4,father,yes,0,5,5,5,yes,no,1,services,services,course,10,16
0,2,4,1,father,yes,0,3,1,1,yes,no,2,other,services,reputation,13,10
0,3,3,1,mother,yes,0,4,2,4,yes,no,3,teacher,health,home,13,13
0,2,4,1,father,yes,0,4,2,4,yes,no,3,services,services,reputation,12,12
0,2,5,3,mother,yes,2,3,1,2,yes,no,3,teacher,services,course,15,16
0,4,1,1,mother,yes,0,3,5,5,yes,no,4,other,services,reputation,12,12
0,4,4,1,mother,yes,0,3,1,2,yes,no,1,services,other,course,9,10
0,2,4,2,mother,yes,0,3,1,3,yes,no,2,health,services,reputation,10,11
0,4,4,2,father,yes,6,2,2,3,yes,no,1,other,other,reputation,15,15
0,4,4,2,father,yes,2,2,1,1,yes,no,1,other,other,reputation,11,11
0,4,3,1,mother,yes,0,3,1,1,yes,no,2,other,other,course,9,10
0,2,3,1,mother,yes,2,4,2,4,yes,no,1,other,other,reputation,11,11
0,1,5,1,mother,yes,0,2,2,2,no,no,1,other,other,reputation,13,14
0,2,4,1,mother,yes,4,3,2,4,yes,no,3,other,services,home,11,11
0,2,4,1,mother,yes,0,3,2,3,yes,no,3,teacher,other,home,11,11
0,4,3,2,mother,yes,0,3,1,1,yes,no,0,teacher,other,course,11,11
0,4,5,1,mother,yes,1,3,1,3,yes,no,2,other,other,reputation,13,13
3,1,4,2,mother,no,0,1,1,1,yes,no,1,other,other,home,9,10
0,2,2,1,mother,yes,14,3,1,2,yes,no,4,at_home,other,course,11,11
0,1,3,1,father,yes,0,2,1,3,yes,no,3,other,services,course,11,12
0,3,5,1,mother,yes,2,2,1,2,yes,no,3,other,other,home,9,9
0,2,4,1,mother,yes,4,4,1,1,yes,no,2,services,other,reputation,11,11
0,2,5,2,mother,yes,2,3,1,3,yes,yes,2,services,services,home,12,13
0,2,4,1,father,yes,2,2,2,3,yes,no,1,other,other,home,12,12
0,2,4,2,father,yes,4,4,2,3,yes,no,4,services,services,reputation,11,12
0,2,4,1,mother,yes,6,4,1,2,no,no,2,at_home,other,course,11,11
0,3,5,1,mother,yes,4,3,1,3,yes,no,2,other,other,reputation,15,15
0,2,4,2,father,yes,6,2,1,1,yes,no,2,services,other,reputation,10,11
0,2,4,1,mother,yes,6,3,3,5,no,no,4,teacher,health,reputation,9,10
0,3,4,1,mother,yes,2,3,1,3,yes,no,3,other,other,home,11,11
0,1,4,1,mother,yes,6,5,1,3,yes,no,3,services,other,reputation,13,13
0,2,3,1,father,yes,0,3,2,3,no,no,1,other,other,home,13,12
0,2,5,2,mother,yes,2,3,1,1,yes,no,2,teacher,services,home,14,14
0,4,4,1,mother,yes,2,4,1,1,yes,no,2,services,health,reputation,12,12
0,4,3,2,mother,yes,4,2,1,1,yes,yes,1,at_home,other,home,13,13
0,1,3,2,mother,yes,6,3,1,1,yes,yes,3,services,other,reputation,11,11
0,2,4,1,mother,yes,0,5,1,1,no,no,1,other,other,course,12,12
0,1,5,1,mother,yes,4,4,1,2,yes,no,4,other,other,reputation,13,13
0,3,5,1,mother,yes,2,5,1,1,yes,no,3,other,at_home,course,13,13
0,1,4,1,mother,yes,12,5,5,5,yes,no,4,services,services,other,9,8
0,3,4,1,father,yes,0,3,1,1,yes,no,4,services,teacher,other,16,16
0,1,5,1,mother,yes,2,3,1,1,yes,yes,4,services,other,course,13,12
0,2,4,2,mother,yes,16,5,1,1,yes,no,2,services,other,home,10,10
0,2,5,1,mother,yes,0,4,1,1,yes,no,4,services,other,course,16,16
0,4,4,1,father,yes,10,3,1,1,no,no,3,other,health,reputation,10,10
0,4,5,1,mother,yes,4,2,1,1,yes,no,2,other,other,course,10,10
0,3,5,1,father,yes,4,3,1,1,yes,no,3,services,other,home,14,14
0,4,1,4,father,yes,8,5,3,5,yes,no,4,other,other,home,10,11
0,3,5,1,mother,yes,2,5,1,1,yes,no,4,health,health,other,15,14
0,1,5,1,mother,yes,4,3,1,1,yes,no,4,teacher,teacher,course,14,14
0,3,4,1,father,yes,4,2,1,1,yes,no,3,services,other,reputation,11,11
1,2,3,1,mother,yes,12,2,1,1,yes,no,2,at_home,other,home,10,10
0,1,3,1,mother,yes,10,2,1,1,yes,no,2,teacher,other,course,17,18
0,2,5,1,mother,yes,4,2,1,1,yes,no,1,health,services,reputation,9,10
0,2,5,1,father,yes,6,4,1,2,yes,no,4,teacher,teacher,course,14,14
0,2,4,2,father,yes,4,3,1,1,no,no,4,other,teacher,reputation,15,16
0,1,5,2,father,yes,6,2,1,1,yes,no,3,other,services,home,14,15
1,2,5,3,father,yes,14,4,1,4,yes,no,3,other,other,course,11,11
